Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
205,Isomorphic Strings,Easy,Word Pattern,"Hash Table,String"
206,Reverse Linked List,Easy,"Reverse Linked List II,Binary Tree Upside Down,Palindrome Linked List,Reverse Nodes in Even Length Groups,Maximum Twin Sum of a Linked List","Linked List,Recursion"
207,Course Schedule,Medium,"Course Schedule II,Graph Valid Tree,Minimum Height Trees,Course Schedule III","Depth-First Search,Breadth-First Search,Graph,Topological Sort"
208,Implement Trie (Prefix Tree),Medium,"Design Add and Search Words Data Structure,Design Search Autocomplete System,Replace Words,Implement Magic Dictionary,Encrypt and Decrypt Strings,Implement Trie II (Prefix Tree)","Hash Table,String,Design,Trie"
209,Minimum Size Subarray Sum,Medium,"Minimum Window Substring,Maximum Size Subarray Sum Equals k,Maximum Length of Repeated Subarray,Minimum Operations to Reduce X to Zero,K Radius Subarray Averages,Maximum Product After K Increments","Array,Binary Search,Sliding Window,Prefix Sum"
210,Course Schedule II,Medium,"Course Schedule,Alien Dictionary,Minimum Height Trees,Sequence Reconstruction,Course Schedule III,Parallel Courses,Find All Possible Recipes from Given Supplies","Depth-First Search,Breadth-First Search,Graph,Topological Sort"
211,Design Add and Search Words Data Structure,Medium,"Implement Trie (Prefix Tree),Prefix and Suffix Search","String,Depth-First Search,Design,Trie"
212,Word Search II,Hard,"Word Search,Unique Paths III,Encrypt and Decrypt Strings","Array,String,Backtracking,Trie,Matrix"
213,House Robber II,Medium,"House Robber,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path","Array,Dynamic Programming"
214,Shortest Palindrome,Hard,"Longest Palindromic Substring,Implement strStr(),Palindrome Pairs","String,Rolling Hash,String Matching,Hash Function"
215,Kth Largest Element in an Array,Medium,"Wiggle Sort II,Top K Frequent Elements,Third Maximum Number,Kth Largest Element in a Stream,K Closest Points to Origin,Find the Kth Largest Integer in the Array,Find Subsequence of Length K With the Largest Sum,K Highest Ranked Items Within a Price Range","Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect"
216,Combination Sum III,Medium,Combination Sum,"Array,Backtracking"
217,Contains Duplicate,Easy,"Contains Duplicate II,Contains Duplicate III","Array,Hash Table,Sorting"
218,The Skyline Problem,Hard,Falling Squares,"Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Line Sweep,Heap (Priority Queue),Ordered Set"
219,Contains Duplicate II,Easy,"Contains Duplicate,Contains Duplicate III","Array,Hash Table,Sliding Window"
220,Contains Duplicate III,Medium,"Contains Duplicate,Contains Duplicate II","Array,Sliding Window,Sorting,Bucket Sort,Ordered Set"
221,Maximal Square,Medium,"Maximal Rectangle,Largest Plus Sign,Count Artifacts That Can Be Extracted,Stamping the Grid","Array,Dynamic Programming,Matrix"
222,Count Complete Tree Nodes,Medium,Closest Binary Search Tree Value,"Binary Search,Tree,Depth-First Search,Binary Tree"
223,Rectangle Area,Medium,Rectangle Overlap,"Math,Geometry"
224,Basic Calculator,Hard,"Evaluate Reverse Polish Notation,Basic Calculator II,Different Ways to Add Parentheses,Expression Add Operators,Basic Calculator III,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression","Math,String,Stack,Recursion"
225,Implement Stack using Queues,Easy,Implement Queue using Stacks,"Stack,Design,Queue"
226,Invert Binary Tree,Easy,"Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree,Univalued Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
227,Basic Calculator II,Medium,"Basic Calculator,Expression Add Operators,Basic Calculator III","Math,String,Stack"
228,Summary Ranges,Easy,"Missing Ranges,Data Stream as Disjoint Intervals",Array
229,Majority Element II,Medium,"Majority Element,Check If a Number Is Majority Element in a Sorted Array","Array,Hash Table,Sorting,Counting"
230,Kth Smallest Element in a BST,Medium,"Binary Tree Inorder Traversal,Second Minimum Node In a Binary Tree","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
231,Power of Two,Easy,"Number of 1 Bits,Power of Three,Power of Four","Math,Bit Manipulation,Recursion"
232,Implement Queue using Stacks,Easy,Implement Stack using Queues,"Stack,Design,Queue"
233,Number of Digit One,Hard,"Factorial Trailing Zeroes,Digit Count in Range","Math,Dynamic Programming,Recursion"
234,Palindrome Linked List,Easy,"Palindrome Number,Valid Palindrome,Reverse Linked List,Maximum Twin Sum of a Linked List","Linked List,Two Pointers,Stack,Recursion"
235,Lowest Common Ancestor of a Binary Search Tree,Easy,"Lowest Common Ancestor of a Binary Tree,Smallest Common Region,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
236,Lowest Common Ancestor of a Binary Tree,Medium,"Lowest Common Ancestor of a Binary Search Tree,Smallest Common Region,Find Players With Zero or One Losses,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV,Step-By-Step Directions From a Binary Tree Node to Another","Tree,Depth-First Search,Binary Tree"
237,Delete Node in a Linked List,Easy,Remove Linked List Elements,Linked List
238,Product of Array Except Self,Medium,"Trapping Rain Water,Maximum Product Subarray,Paint House II,Minimum Difference in Sums After Removal of Elements","Array,Prefix Sum"
239,Sliding Window Maximum,Hard,"Minimum Window Substring,Min Stack,Longest Substring with At Most Two Distinct Characters,Paint House II,Jump Game VI","Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue"
240,Search a 2D Matrix II,Medium,Search a 2D Matrix,"Array,Binary Search,Divide and Conquer,Matrix"
241,Different Ways to Add Parentheses,Medium,"Unique Binary Search Trees II,Basic Calculator,Expression Add Operators,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression","Math,String,Dynamic Programming,Recursion,Memoization"
242,Valid Anagram,Easy,"Group Anagrams,Palindrome Permutation,Find All Anagrams in a String","Hash Table,String,Sorting"
243,Shortest Word Distance,Easy,"Shortest Word Distance II,Shortest Word Distance III,Find All K-Distant Indices in an Array","Array,String"
244,Shortest Word Distance II,Medium,"Merge Two Sorted Lists,Shortest Word Distance,Shortest Word Distance III","Array,Hash Table,Two Pointers,String,Design"
245,Shortest Word Distance III,Medium,"Shortest Word Distance,Shortest Word Distance II","Array,String"
246,Strobogrammatic Number,Easy,"Strobogrammatic Number II,Strobogrammatic Number III,Confusing Number","Hash Table,Two Pointers,String"
247,Strobogrammatic Number II,Medium,"Strobogrammatic Number,Strobogrammatic Number III,Sum of k-Mirror Numbers","Array,String,Recursion"
248,Strobogrammatic Number III,Hard,"Strobogrammatic Number,Strobogrammatic Number II","Array,String,Recursion"
249,Group Shifted Strings,Medium,Group Anagrams,"Array,Hash Table,String"
250,Count Univalue Subtrees,Medium,"Subtree of Another Tree,Longest Univalue Path","Tree,Depth-First Search,Binary Tree"
251,Flatten 2D Vector,Medium,"Binary Search Tree Iterator,Zigzag Iterator,Peeking Iterator,Flatten Nested List Iterator","Array,Two Pointers,Design,Iterator"
252,Meeting Rooms,Easy,"Merge Intervals,Meeting Rooms II","Array,Sorting"
253,Meeting Rooms II,Medium,"Merge Intervals,Meeting Rooms,Minimum Number of Arrows to Burst Balloons,Car Pooling","Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue)"
254,Factor Combinations,Medium,Combination Sum,"Array,Backtracking"
255,Verify Preorder Sequence in Binary Search Tree,Medium,Binary Tree Preorder Traversal,"Stack,Tree,Binary Search Tree,Recursion,Monotonic Stack,Binary Tree"
256,Paint House,Medium,"House Robber,House Robber II,Paint House II,Paint Fence","Array,Dynamic Programming"
257,Binary Tree Paths,Easy,"Path Sum II,Smallest String Starting From Leaf,Step-By-Step Directions From a Binary Tree Node to Another","String,Backtracking,Tree,Depth-First Search,Binary Tree"
258,Add Digits,Easy,"Happy Number,Sum of Digits in the Minimum Number,Sum of Digits of String After Convert,Minimum Sum of Four Digit Number After Splitting Digits","Math,Simulation,Number Theory"
259,3Sum Smaller,Medium,"3Sum,3Sum Closest,Valid Triangle Number,Two Sum Less Than K","Array,Two Pointers,Binary Search,Sorting"
260,Single Number III,Medium,"Single Number,Single Number II","Array,Bit Manipulation"
261,Graph Valid Tree,Medium,"Course Schedule,Number of Connected Components in an Undirected Graph,Keys and Rooms","Depth-First Search,Breadth-First Search,Union Find,Graph"
262,Trips and Users,Hard,"Hopper Company Queries I,Hopper Company Queries II,Hopper Company Queries III",Database
263,Ugly Number,Easy,"Happy Number,Count Primes,Ugly Number II",Math
264,Ugly Number II,Medium,"Merge k Sorted Lists,Count Primes,Ugly Number,Perfect Squares,Super Ugly Number,Ugly Number III","Hash Table,Math,Dynamic Programming,Heap (Priority Queue)"
265,Paint House II,Hard,"Product of Array Except Self,Sliding Window Maximum,Paint House,Paint Fence","Array,Dynamic Programming"
266,Palindrome Permutation,Easy,"Longest Palindromic Substring,Valid Anagram,Palindrome Permutation II,Longest Palindrome","Hash Table,String,Bit Manipulation"
267,Palindrome Permutation II,Medium,"Next Permutation,Permutations II,Palindrome Permutation","Hash Table,String,Backtracking"
268,Missing Number,Easy,"First Missing Positive,Single Number,Find the Duplicate Number,Couples Holding Hands,Find Unique Binary String","Array,Hash Table,Math,Bit Manipulation,Sorting"
269,Alien Dictionary,Hard,Course Schedule II,"Array,String,Depth-First Search,Breadth-First Search,Graph,Topological Sort"
270,Closest Binary Search Tree Value,Easy,"Count Complete Tree Nodes,Closest Binary Search Tree Value II,Search in a Binary Search Tree","Binary Search,Tree,Depth-First Search,Binary Search Tree,Binary Tree"
271,Encode and Decode Strings,Medium,"Count and Say,Serialize and Deserialize Binary Tree,String Compression,Count Binary Substrings","Array,String,Design"
272,Closest Binary Search Tree Value II,Hard,"Binary Tree Inorder Traversal,Closest Binary Search Tree Value","Two Pointers,Stack,Tree,Depth-First Search,Binary Search Tree,Heap (Priority Queue),Binary Tree"
273,Integer to English Words,Hard,Integer to Roman,"Math,String,Recursion"
274,H-Index,Medium,H-Index II,"Array,Sorting,Counting Sort"
275,H-Index II,Medium,H-Index,"Array,Binary Search"
276,Paint Fence,Medium,"House Robber,House Robber II,Paint House,Paint House II",Dynamic Programming
277,Find the Celebrity,Medium,Find the Town Judge,"Two Pointers,Greedy,Graph,Interactive"
278,First Bad Version,Easy,"Find First and Last Position of Element in Sorted Array,Search Insert Position,Guess Number Higher or Lower","Binary Search,Interactive"
279,Perfect Squares,Medium,"Count Primes,Ugly Number II","Math,Dynamic Programming,Breadth-First Search"
280,Wiggle Sort,Medium,"Sort Colors,Wiggle Sort II,Array With Elements Not Equal to Average of Neighbors","Array,Greedy,Sorting"
281,Zigzag Iterator,Medium,"Binary Search Tree Iterator,Flatten 2D Vector,Peeking Iterator,Flatten Nested List Iterator,Merge Strings Alternately","Array,Design,Queue,Iterator"
282,Expression Add Operators,Hard,"Evaluate Reverse Polish Notation,Basic Calculator,Basic Calculator II,Different Ways to Add Parentheses,Target Sum","Math,String,Backtracking"
283,Move Zeroes,Easy,Remove Element,"Array,Two Pointers"
284,Peeking Iterator,Medium,"Binary Search Tree Iterator,Flatten 2D Vector,Zigzag Iterator","Array,Design,Iterator"
285,Inorder Successor in BST,Medium,"Binary Tree Inorder Traversal,Binary Search Tree Iterator,Inorder Successor in BST II","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
286,Walls and Gates,Medium,"Surrounded Regions,Number of Islands,Shortest Distance from All Buildings,Robot Room Cleaner,Rotting Oranges","Array,Breadth-First Search,Matrix"
287,Find the Duplicate Number,Medium,"First Missing Positive,Single Number,Linked List Cycle II,Missing Number,Set Mismatch","Array,Two Pointers,Binary Search,Bit Manipulation"
288,Unique Word Abbreviation,Medium,"Two Sum III - Data structure design,Generalized Abbreviation","Array,Hash Table,String,Design"
289,Game of Life,Medium,Set Matrix Zeroes,"Array,Matrix,Simulation"
290,Word Pattern,Easy,"Isomorphic Strings,Word Pattern II","Hash Table,String"
291,Word Pattern II,Medium,Word Pattern,"Hash Table,String,Backtracking"
292,Nim Game,Easy,Flip Game II,"Math,Brainteaser,Game Theory"
293,Flip Game,Easy,Flip Game II,String
294,Flip Game II,Medium,"Nim Game,Flip Game,Guess Number Higher or Lower II,Can I Win","Math,Dynamic Programming,Backtracking,Memoization,Game Theory"
295,Find Median from Data Stream,Hard,"Sliding Window Median,Finding MK Average,Sequentially Ordinal Rank Tracker","Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream"
296,Best Meeting Point,Hard,"Shortest Distance from All Buildings,Minimum Moves to Equal Array Elements II","Array,Math,Sorting,Matrix"
297,Serialize and Deserialize Binary Tree,Hard,"Encode and Decode Strings,Serialize and Deserialize BST,Find Duplicate Subtrees,Serialize and Deserialize N-ary Tree","String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree"
298,Binary Tree Longest Consecutive Sequence,Medium,"Longest Consecutive Sequence,Binary Tree Longest Consecutive Sequence II,Check if an Array Is Consecutive","Tree,Depth-First Search,Binary Tree"
299,Bulls and Cows,Medium,"Minimum Number of Steps to Make Two Strings Anagram,Sum of Beauty of All Substrings,Minimum Number of Steps to Make Two Strings Anagram II,Ransom Note,Check if One String Swap Can Make Strings Equal","Hash Table,String,Counting"
300,Longest Increasing Subsequence,Medium,"Increasing Triplet Subsequence,Russian Doll Envelopes,Maximum Length of Pair Chain,Number of Longest Increasing Subsequence,Minimum ASCII Delete Sum for Two Strings,Minimum Number of Removals to Make Mountain Array,Find the Longest Valid Obstacle Course at Each Position,Minimum Operations to Make the Array K-Increasing","Array,Binary Search,Dynamic Programming"
301,Remove Invalid Parentheses,Hard,"Valid Parentheses,Minimum Number of Swaps to Make the String Balanced","String,Backtracking,Breadth-First Search"
302,Smallest Rectangle Enclosing Black Pixels,Hard,"Minesweeper,Coloring A Border,Find All Groups of Farmland,Island Perimeter,Flood Fill","Array,Binary Search,Depth-First Search,Breadth-First Search,Matrix"
303,Range Sum Query - Immutable,Easy,"Range Sum Query 2D - Immutable,Range Sum Query - Mutable,Maximum Size Subarray Sum Equals k","Array,Design,Prefix Sum"
304,Range Sum Query 2D - Immutable,Medium,"Range Sum Query - Immutable,Range Sum Query 2D - Mutable","Array,Design,Matrix,Prefix Sum"
305,Number of Islands II,Hard,"Number of Islands,Process Restricted Friend Requests","Array,Union Find"
306,Additive Number,Medium,Split Array into Fibonacci Sequence,"String,Backtracking"
307,Range Sum Query - Mutable,Medium,"Range Sum Query - Immutable,Range Sum Query 2D - Mutable","Array,Design,Binary Indexed Tree,Segment Tree"
308,Range Sum Query 2D - Mutable,Hard,"Range Sum Query 2D - Immutable,Range Sum Query - Mutable","Array,Design,Binary Indexed Tree,Segment Tree,Matrix"
309,Best Time to Buy and Sell Stock with Cooldown,Medium,"Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II","Array,Dynamic Programming"
310,Minimum Height Trees,Medium,"Course Schedule,Course Schedule II","Depth-First Search,Breadth-First Search,Graph,Topological Sort"
